constellation,abbreviation,abbreviation_upper,meaning,pronunciation,genitive,area,messiers,ngcs,caldwells,brightest_stars,ngcs2,date_best,visible,ra_low_h,ra_low_m,ra_high_h,ra_low_m3,dec_low_d,dec_low_m,dec_high_d,dec_high_m,ra_mid_h,ra_mid_m,dec_mid_d,dec_mid_m,ra_low_frac,ra_high_frac,dec_low_frac,dec_high_frac,ra_mid_frac,dec_mid_frac
Andromeda,And,AND,The Daughter of Cassiopeia,an-drom-E-du,Andromedae,722.278,3,2,3,3,160,10.04,V,22,57.37,2,39.54,21,40.6,53,11.22,0,48.46,37,25.91,22.95616667,2.659,21.67666667,53.187,0.807666667,37.43183333
Antlia,Ant,ANT,The Air Pump,ant-lE-u,Antliae,238.901,0,0,0,0,66,2.25,P,9,26.94,11,5.92,-40,25.48,-24,32.55,10,16.43,-32,29.01,9.449,11.09866667,-39.57533333,-23.4575,10.27383333,-31.5165
Apus,Aps,APS,The Bird of Paradise,A-pus,Apodis,206.327,0,0,1,0,9,5.25,N,13,49.84,18,27.46,-83,7.2,-67,28.8,16,8.65,-75,18,13.83066667,18.45766667,-82.88,-66.52,16.14416667,-74.7
Aquarius,Aqr,AQR,The Water-bearer,u-kwer-E-us,Aquarii,979.854,3,2,2,0,146,8.27,V,20,38.32,23,56.44,-24,54.24,3,19.54,22,17.38,-10,47.35,20.63866667,23.94066667,-23.096,3.325666667,22.28966667,-9.210833333
Aquila,Aql,AQL,The Eagle,u-kwil-u or ak-wil-u,Aquilae,652.473,0,1,0,1,41,7.18,V,18,41.3,20,38.74,-11,51.99,18,41.29,19,40.02,3,24.65,18.68833333,20.64566667,-10.1335,18.68816667,19.667,3.410833333
Ara,Ara,ARA,The Altar,A-ru,Arae,237.057,0,0,3,0,17,6.13,N,16,34.28,18,10.69,-67,41.43,-45,29.16,17,22.49,-56,35.3,16.57133333,18.17816667,-66.3095,-44.514,17.37483333,-55.41166667
Aries,Ari,ARI,The Ram,e-rEz or e-ri-Ez,Arietis,441.395,0,1,0,1,81,11.01,V,1,46.62,3,29.71,10,21.79,31,13.28,2,38.16,20,47.54,1.777,3.495166667,10.36316667,31.22133333,2.636,20.79233333
Auriga,Aur,AUR,The Charioteer,o-rI-gu or o-rE-gu,Aurigae,657.438,3,1,1,2,25,12.23,V,4,37.91,7,30.94,27,53.48,56,9.89,6,4.42,42,1.68,4.631833333,7.515666667,27.89133333,56.16483333,6.073666667,42.028
Bootes,Boo,BOO,The Herdsman,bO-O-tEz,Bootis,906.831,0,1,1,2,289,5.03,V,13,35.82,15,49.46,7,21.63,55,2.69,14,42.64,31,12.16,13.597,15.82433333,7.3605,55.04483333,14.71066667,31.20266667
Caelum,Cae,CAE,The Chisel,sE-lum,Caeli,124.865,0,0,0,0,16,12.02,P,4,19.53,5,5.02,-48,44.31,-27,1.49,4,42.27,-37,52.9,4.3255,5.083666667,-47.2615,-26.97516667,4.7045,-36.11833333
